type,amount,oldbalanceOrg,newbalanceOrig,isFraud
CASH_OUT,722832.95,722832.95,0.0,1
CASH_OUT,228264.6,0.0,0.0,0
CASH_OUT,249222.8,19198.0,0.0,0
TRANSFER,55920.39,55920.39,0.0,1
CASH_OUT,163353.64,163353.64,0.0,1
TRANSFER,914767.58,0.0,0.0,0
TRANSFER,3733104.07,3733104.07,0.0,1
PAYMENT,14091.48,12164.0,0.0,0
PAYMENT,10275.97,57594.74,47318.76,0
CASH_OUT,321045.95,571080.63,250034.68,0
PAYMENT,10797.09,0.0,0.0,0
CASH_IN,84643.18,8152260.58,8236903.76,0
CASH_OUT,130047.94,0.0,0.0,0
CASH_OUT,29280.46,29280.46,0.0,1
CASH_IN,47185.68,365548.96,412734.64,0
CASH_OUT,134313.22,134313.22,0.0,1
CASH_IN,171726.95,1911513.47,2083240.42,0
PAYMENT,5502.17,0.0,0.0,0
CASH_OUT,1457.35,0.0,0.0,0
PAYMENT,1628.58,8581.11,6952.53,0
CASH_IN,122552.94,3576115.79,3698668.73,0
CASH_IN,59902.21,5913325.33,5973227.54,0
TRANSFER,156396.46,156396.46,0.0,1
TRANSFER,654950.95,0.0,0.0,0
TRANSFER,556869.88,33397.0,0.0,0
CASH_OUT,1340263.67,1340263.67,0.0,1
CASH_OUT,234794.88,0.0,0.0,0
CASH_OUT,6391.6,6391.6,0.0,1
TRANSFER,983417.49,983417.49,0.0,1
CASH_OUT,63440.63,63440.63,0.0,1
TRANSFER,10119.47,10119.47,0.0,1
CASH_OUT,26565.18,0.0,0.0,0
CASH_OUT,232688.39,810487.0,577798.61,0
CASH_OUT,1547877.98,1547877.98,0.0,1
PAYMENT,6902.55,30942.0,24039.45,0
PAYMENT,11105.11,151866.88,140761.77,0
TRANSFER,10000000.0,44892193.09,34892193.09,1
CASH_OUT,231682.89,0.0,0.0,0
CASH_OUT,986876.27,986876.27,0.0,1
TRANSFER,460436.43,460436.43,0.0,1
CASH_IN,77346.35,2239373.78,2316720.13,0
CASH_OUT,397069.12,397069.12,0.0,1
CASH_IN,209966.32,29587.0,239553.32,0
CASH_OUT,2938833.22,2938833.22,0.0,1
CASH_OUT,470325.08,470325.08,0.0,1
CASH_OUT,3105902.49,3105902.49,0.0,1
CASH_OUT,297552.34,31997.0,0.0,0
TRANSFER,63944.13,63944.13,0.0,1
CASH_OUT,135200.37,135200.37,0.0,1
TRANSFER,330665.02,330665.02,0.0,1
TRANSFER,2177218.43,2177218.43,0.0,1
PAYMENT,25086.57,27435.0,2348.43,0
CASH_OUT,563149.41,563149.41,0.0,1
CASH_OUT,4814.69,4814.69,0.0,1
TRANSFER,110457.0,110457.0,0.0,1
TRANSFER,1245049.75,566.0,0.0,0
PAYMENT,10331.19,62032.0,51700.81,0
TRANSFER,2291498.65,2291498.65,0.0,1
TRANSFER,2123610.45,2123610.45,0.0,1
CASH_OUT,250562.37,15436.0,0.0,0
CASH_OUT,72389.42,72389.42,0.0,1
PAYMENT,24186.08,436910.95,412724.86,0
CASH_OUT,591766.42,591766.42,0.0,1
PAYMENT,3590.02,5029.0,1438.98,0
CASH_OUT,1195842.37,1195842.37,0.0,1
CASH_OUT,123351.78,0.0,0.0,0
CASH_OUT,225301.45,225301.45,0.0,1
TRANSFER,241377.47,0.0,0.0,0
CASH_OUT,330137.75,15489.0,0.0,0
TRANSFER,4886423.05,4886423.05,0.0,1
CASH_IN,86098.52,7035.0,93133.52,0
CASH_OUT,3288377.47,3288377.47,0.0,1
CASH_OUT,290049.54,9947.0,0.0,0
PAYMENT,1957.75,50087.0,48129.25,0
CASH_OUT,2859010.61,2859010.61,0.0,1
PAYMENT,16944.63,29908.0,12963.37,0
CASH_IN,129044.72,6173807.61,6302852.33,0
CASH_OUT,955505.54,955505.54,0.0,1
CASH_OUT,128402.84,0.0,0.0,0
PAYMENT,1102.62,0.0,0.0,0
TRANSFER,51725.86,51725.86,0.0,1
TRANSFER,489.67,0.0,0.0,0
CASH_OUT,159724.42,159724.42,0.0,1
TRANSFER,2624422.62,2624422.62,0.0,1
